f1,f2,interaction_var,error_range,max_error,min_error,n_cells
VERBAL_ABUSE,CONTEXT,0.000963,0.1357,0.1833,0.0476,17
ROLE,CONTEXT,0.000738,0.119,0.119,0.0,21
VERBAL_ABUSE,ironie,0.001569,0.1068,0.1667,0.0599,6
INTENTION,domain,0.000591,0.1029,0.1157,0.0128,23
CONTEXT,domain,0.000625,0.1024,0.119,0.0167,19
HATE,domain,0.000861,0.1021,0.1354,0.0333,11
VERBAL_ABUSE,interjection,0.001125,0.1018,0.1591,0.0573,7
CONTEXT,SENTIMENT,0.000862,0.099,0.099,0.0,13
INTENTION,interjection,0.000666,0.0981,0.1208,0.0227,11
INTENTION,CONTEXT,0.000802,0.0979,0.1146,0.0167,16
HATE,CONTEXT,0.000864,0.0958,0.1042,0.0083,17
INTENTION,insulte,0.000825,0.0952,0.1111,0.0159,13
TARGET,SENTIMENT,0.001116,0.0909,0.0909,0.0,6
INTENTION,mépris / haine,0.000689,0.0905,0.1037,0.0132,13
CONTEXT,abréviation,0.000558,0.0874,0.1333,0.0459,13
HATE,INTENTION,0.000662,0.0868,0.1,0.0132,15
TARGET,VERBAL_ABUSE,0.000666,0.0854,0.1354,0.05,16
INTENTION,SENTIMENT,0.000736,0.0833,0.0833,0.0,15
INTENTION,elongation,0.000616,0.0829,0.1019,0.0189,9
HATE,elongation,0.001171,0.0819,0.125,0.0431,5
INTENTION,abréviation,0.000542,0.0816,0.1014,0.0198,11
ROLE,domain,0.000406,0.0806,0.1222,0.0417,18
VERBAL_ABUSE,abréviation,0.000636,0.0778,0.1389,0.0611,7
TARGET,domain,0.000418,0.0767,0.1333,0.0567,15
domain,insulte,0.000664,0.0766,0.125,0.0484,8
ROLE,INTENTION,0.00055,0.0765,0.095,0.0185,19
TARGET,mépris / haine,0.000592,0.0757,0.1161,0.0403,10
TARGET,interjection,0.000521,0.0755,0.1354,0.0599,9
VERBAL_ABUSE,argot,0.00061,0.0755,0.1125,0.037,8
CONTEXT,ironie,0.000445,0.0752,0.1029,0.0278,12
INTENTION,ironie,0.000456,0.0748,0.0965,0.0217,10
TARGET,CONTEXT,0.000338,0.0741,0.1333,0.0592,15
CONTEXT,mépris / haine,0.000554,0.0741,0.1136,0.0395,14
VERBAL_ABUSE,mépris / haine,0.000663,0.074,0.1129,0.0389,8
ROLE,interjection,0.000431,0.0708,0.1212,0.0504,10
domain,interjection,0.000557,0.0708,0.1282,0.0574,8
ROLE,VERBAL_ABUSE,0.000433,0.0707,0.1207,0.05,16
SENTIMENT,domain,0.000582,0.0706,0.0984,0.0278,9
ROLE,HATE,0.000527,0.0698,0.1032,0.0333,15
VERBAL_ABUSE,elongation,0.000691,0.0694,0.1028,0.0333,5
CONTEXT,insulte,0.000568,0.0694,0.1154,0.046,13
domain,abréviation,0.000457,0.0693,0.125,0.0557,8
ROLE,elongation,0.000524,0.0691,0.1204,0.0513,7
INTENTION,argot,0.000399,0.0687,0.0905,0.0217,13
SENTIMENT,abréviation,0.00079,0.0687,0.0965,0.0278,5
ROLE,abréviation,0.000394,0.0686,0.1176,0.0491,10
ROLE,SENTIMENT,0.000536,0.0683,0.091,0.0227,11
CONTEXT,argot,0.000329,0.0677,0.1094,0.0417,13
VERBAL_ABUSE,INTENTION,0.000312,0.0673,0.125,0.0577,13
SENTIMENT,insulte,0.001019,0.0672,0.1042,0.0369,5
HATE,TARGET,0.000497,0.0669,0.0964,0.0294,10
SENTIMENT,interjection,0.000757,0.0664,0.0977,0.0312,5
VERBAL_ABUSE,domain,0.0004,0.066,0.125,0.059,13
VERBAL_ABUSE,insulte,0.000465,0.0658,0.1276,0.0618,8
