domain,_original_idx,TEXT,text_length,word_count,elongation,ironie,insulte,mépris / haine,argot,abréviation,interjection,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT,SENTIMENT,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,Autre,pred_Colère,pred_Dégoût,pred_Joie,pred_Peur,pred_Surprise,pred_Tristesse,pred_Admiration,pred_Culpabilité,pred_Embarras,pred_Fierté,pred_Jalousie,pred_Autre,proba_Colère,proba_Dégoût,proba_Joie,proba_Peur,proba_Surprise,proba_Tristesse,proba_Admiration,proba_Culpabilité,proba_Embarras,proba_Fierté,proba_Jalousie,proba_Autre,err_Colère,err_Dégoût,err_Joie,err_Peur,err_Surprise,err_Tristesse,err_Admiration,err_Culpabilité,err_Embarras,err_Fierté,err_Jalousie,err_Autre,n_errors_12,hamming_12,jaccard_error_12,weighted_hamming_12,error_category,emotion_density_12,mode_density_4,label_density_19
Homophobie,0,Alors julie t'ai dégeulasse de sortir avec une gadji bande de salopes,69,12,0,0,1,1,1,0,0,bully,OAG,victim,DNG,AIN,,NEG,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9716546,0.019218767,0.007433486,0.0007198794,0.00030683665,0.0029528332,4.0448045e-05,0.00089213264,0.006112918,0.0006812246,0.00022107824,0.09429036,FP,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.16666666666666666,1.0,0.015436912323730892,medium_error,1,2,5
Homophobie,1,allo mme est homophobe,22,4,0,0,0,0,0,0,0,victim,OAG,bully,NCG,DFN,AIN,NEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0017118867,0.00011428846,0.00040970082,0.00013473866,6.7480694e-05,0.00024934707,2.9079116e-05,6.0311427e-06,3.875124e-05,1.0134736e-05,1.5480273e-06,0.99886847,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,FP,1,0.08333333333333333,1.0,0.015611872969073962,low_error,0,0,0
Homophobie,2,mais tu veut quoi toi retourne avec ta gadji et assume au passant que vous ètent lesbiennes sa dégouteeee,105,19,0,0,0,1,0,0,0,bully,OAG,victim,DNG,ATK,DFN,NEG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.1850168,0.04637867,0.0026768935,0.010246556,0.000573738,0.75502497,0.0005346967,0.02524355,0.7715854,0.0030595718,0.0018328635,0.20103647,OK,FN,OK,OK,OK,FP,OK,OK,FP,OK,OK,OK,3,0.25,1.0,0.20517297936556672,medium_error,1,1,4
Homophobie,3," on est pas ensemble déjà puis même si c'était le cas,  ça ne te regarde pas et je vois pas en quoi ça te concerne",114,25,0,0,0,0,0,0,0,victim,NAG,,,CNS,ATK,NEG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8401533e-05,2.051655e-06,1.0865149e-05,1.607945e-05,2.5064039e-05,1.2702745e-05,5.5893406e-06,4.7507643e-07,3.5144987e-07,1.4595322e-06,6.7524674e-08,3.212799e-05,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.003337710772698571,low_error,1,1,4
Homophobie,4,mais grave bande de lesbiennes vous degoutée aaaaah,51,8,0,0,1,1,0,0,1,bully_support,OAG,victim,DNG,ATK,CNS,NEG,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6932087,0.032944366,0.004208642,0.039017294,0.026659379,0.4268401,0.00012810234,0.006372646,0.11312681,0.0010572457,0.0013845842,0.049495008,FP,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.16666666666666666,1.0,0.015436912323730892,medium_error,1,2,5
Homophobie,5,mais olalala frr assume t'aime les ch*ttes mais tu dégoute meme anna elle le dit,80,15,0,0,0,1,0,0,1,bully,OAG,victim,DNG,ATK,CNS,NEG,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7921071,0.024397269,0.00053783355,0.0056727855,0.0007707778,0.12502365,4.9483482e-05,0.002460287,0.03855069,0.00025829364,0.00044508217,0.04717251,FP,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.16666666666666666,1.0,0.015436912323730892,medium_error,1,2,5
Homophobie,6,laissé la tranquille elle n'est pas avec elle elle vous a dit,61,12,0,0,0,0,0,0,0,victim_support,NAG,,,CNS,ATK,NEU,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9587204,0.005285757,0.00024854057,0.00542356,0.00036973992,0.000251383,5.0488048e-05,0.00026526547,0.0010760471,0.00031583983,8.1611186e-05,0.058330085,FP,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,1.0,0.003337710772698571,low_error,0,0,0
Homophobie,7,mais assumer vous degouter bande de crasseuse,45,7,0,0,1,1,0,0,0,bully_support,OAG,victim,DNG,ATK,CNS,NEG,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.9680835,0.018515257,0.0013236457,0.0017032486,0.0005754728,0.030307738,3.701751e-05,0.0014481118,0.026931074,0.00030712932,0.00023845985,0.072333276,OK,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,1,0.08333333333333333,0.5,0.01209920155103232,low_error,2,2,6
Homophobie,8,mais ya eu des photos pk elle mito,34,8,0,0,0,0,1,1,0,bully,OAG,victim,NCG,ATK,CNS,NEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2346578e-05,1.6714587e-06,1.0717646e-05,1.3110204e-05,2.5629224e-05,1.0889133e-05,4.9484106e-06,3.7365464e-07,2.7132882e-07,1.3098195e-06,5.217674e-08,4.138367e-05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,9,grave on a tous vu,18,5,0,0,0,0,1,0,0,bully_support,NAG,,,AIN,ATK,NEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0805299e-05,5.3133695e-06,2.3635645e-05,2.7854046e-05,4.447969e-05,2.2647566e-05,1.3571846e-05,1.2363028e-06,8.721771e-07,4.727223e-06,2.1333334e-07,0.00016594619,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,0,0.0,0.0,0.0,exact_match,0,0,0
Homophobie,10,grosse crasseuse,16,2,0,0,1,1,0,0,0,bully,OAG,victim,NCG,ATK,CNS,NEG,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017027287,0.009017675,0.0012059847,0.0016467753,0.00025265818,0.0039148144,0.0020758938,0.005614528,0.09297551,0.0030807017,0.0006491551,0.026004495,FN,FN,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2,0.16666666666666666,1.0,0.015436912323730892,medium_error,2,1,5
