f1,f2,interaction_var,error_range,max_error,min_error,n_cells
HATE,elongation,0.002751,0.1218,0.1574,0.0356,5
elongation,abréviation,0.002909,0.1193,0.1759,0.0566,4
INTENTION,elongation,0.001137,0.1124,0.1389,0.0265,9
ROLE,elongation,0.001441,0.1077,0.1574,0.0497,7
ROLE,CONTEXT,0.000678,0.1071,0.1071,0.0,21
VERBAL_ABUSE,CONTEXT,0.000613,0.1,0.1333,0.0333,17
TARGET,elongation,0.001229,0.0986,0.15,0.0514,6
elongation,mépris / haine,0.001699,0.0959,0.1417,0.0457,4
SENTIMENT,elongation,0.001545,0.0951,0.1278,0.0327,4
ROLE,SENTIMENT,0.000723,0.0924,0.1,0.0076,11
CONTEXT,insulte,0.000758,0.0914,0.1282,0.0368,13
INTENTION,CONTEXT,0.000707,0.0913,0.1042,0.0128,16
ROLE,abréviation,0.000714,0.0912,0.1078,0.0167,10
CONTEXT,mépris / haine,0.000619,0.0898,0.1136,0.0238,14
TARGET,VERBAL_ABUSE,0.000577,0.0891,0.1354,0.0463,16
HATE,CONTEXT,0.000782,0.0889,0.0972,0.0083,17
CONTEXT,SENTIMENT,0.000713,0.0885,0.0885,0.0,13
elongation,argot,0.001563,0.0884,0.1429,0.0545,4
TARGET,CONTEXT,0.000455,0.087,0.1333,0.0463,15
CONTEXT,interjection,0.000557,0.0841,0.1154,0.0312,11
ROLE,INTENTION,0.000492,0.0833,0.0909,0.0076,19
VERBAL_ABUSE,interjection,0.000833,0.0833,0.1288,0.0455,7
CONTEXT,elongation,0.000634,0.0833,0.125,0.0417,9
TARGET,SENTIMENT,0.000901,0.0813,0.0813,0.0,6
VERBAL_ABUSE,abréviation,0.000662,0.0792,0.1319,0.0528,7
INTENTION,interjection,0.000495,0.078,0.1083,0.0303,11
CONTEXT,abréviation,0.000603,0.0768,0.1167,0.0399,13
INTENTION,SENTIMENT,0.000547,0.0745,0.0745,0.0,15
INTENTION,abréviation,0.000545,0.0737,0.1051,0.0313,11
TARGET,interjection,0.000514,0.0734,0.1275,0.0541,9
HATE,INTENTION,0.000593,0.0722,0.1,0.0278,15
INTENTION,insulte,0.000587,0.0722,0.1,0.0278,13
elongation,interjection,0.001321,0.0714,0.1288,0.0574,4
VERBAL_ABUSE,argot,0.000556,0.0713,0.1083,0.037,8
CONTEXT,argot,0.000502,0.0694,0.0972,0.0278,13
SENTIMENT,abréviation,0.000903,0.0687,0.0965,0.0278,5
HATE,abréviation,0.000679,0.0676,0.1049,0.0373,6
TARGET,abréviation,0.000455,0.067,0.1167,0.0496,10
ROLE,insulte,0.000432,0.0665,0.1104,0.0439,10
HATE,VERBAL_ABUSE,0.000503,0.0648,0.0981,0.0333,7
insulte,abréviation,0.000702,0.0648,0.1131,0.0483,4
HATE,TARGET,0.000507,0.064,0.0885,0.0245,10
mépris / haine,abréviation,0.00066,0.0628,0.1059,0.0431,4
INTENTION,mépris / haine,0.000486,0.062,0.0898,0.0278,13
ROLE,interjection,0.000389,0.0607,0.1098,0.0491,10
VERBAL_ABUSE,insulte,0.00042,0.0607,0.1172,0.0565,8
ROLE,HATE,0.000501,0.0604,0.0854,0.025,15
INTENTION,argot,0.000329,0.0604,0.0893,0.0289,13
TARGET,mépris / haine,0.000441,0.0601,0.0978,0.0378,10
ROLE,VERBAL_ABUSE,0.000258,0.06,0.1121,0.0521,16
HATE,interjection,0.000495,0.0587,0.0947,0.036,6
ROLE,ironie,0.000312,0.0572,0.0739,0.0167,9
SENTIMENT,insulte,0.000486,0.0569,0.0895,0.0327,5
HATE,insulte,0.000421,0.0566,0.0928,0.0361,6
VERBAL_ABUSE,mépris / haine,0.000472,0.0558,0.1002,0.0444,8
HATE,mépris / haine,0.000433,0.0555,0.0901,0.0346,6
VERBAL_ABUSE,INTENTION,0.000291,0.0542,0.1042,0.05,13
TARGET,insulte,0.000312,0.0541,0.0976,0.0435,10
insulte,mépris / haine,0.000477,0.0533,0.0963,0.043,4
SENTIMENT,interjection,0.000509,0.0528,0.0859,0.0331,5
HATE,argot,0.000427,0.0527,0.0896,0.0369,6
TARGET,argot,0.000198,0.0517,0.1017,0.05,10
SENTIMENT,mépris / haine,0.000612,0.0516,0.0833,0.0317,5
abréviation,interjection,0.000477,0.0509,0.1061,0.0552,4
SENTIMENT,argot,0.000402,0.0501,0.0828,0.0327,5
ROLE,mépris / haine,0.000299,0.0483,0.0853,0.037,10
ironie,abréviation,0.000562,0.048,0.1019,0.0538,4
insulte,interjection,0.00043,0.0476,0.0965,0.0489,4
mépris / haine,interjection,0.000401,0.0472,0.0921,0.045,4
CONTEXT,ironie,0.0002,0.0463,0.0833,0.037,12
insulte,argot,0.000404,0.0462,0.0932,0.047,4
ROLE,TARGET,0.000146,0.0458,0.0914,0.0456,12
mépris / haine,argot,0.000378,0.0458,0.0874,0.0416,4
TARGET,ironie,0.000214,0.0454,0.0917,0.0463,9
HATE,SENTIMENT,0.000413,0.0445,0.0786,0.0341,5
ROLE,argot,0.000186,0.0444,0.0901,0.0456,10
VERBAL_ABUSE,ironie,0.000328,0.0432,0.0952,0.0521,6
INTENTION,ironie,0.000251,0.0428,0.0718,0.029,10
SENTIMENT,ironie,0.000425,0.0428,0.0741,0.0312,5
HATE,ironie,0.000347,0.0427,0.0799,0.0371,6
TARGET,INTENTION,0.000212,0.0424,0.0841,0.0417,7
VERBAL_ABUSE,elongation,0.000236,0.0399,0.0889,0.049,5
argot,abréviation,0.000288,0.0398,0.0939,0.0542,4
ironie,insulte,0.000441,0.0393,0.0903,0.051,4
ironie,mépris / haine,0.000308,0.0378,0.0794,0.0417,4
argot,interjection,0.000174,0.0297,0.0833,0.0536,4
VERBAL_ABUSE,SENTIMENT,0.000191,0.0291,0.0922,0.0631,4
ironie,argot,0.000156,0.0268,0.0816,0.0549,4
ironie,interjection,7.4e-05,0.0193,0.0776,0.0584,4
