,feature,mean_abs_shap
7,text_length,0.013337403929618028
2,insulte,0.008426255743935393
23,HATE_OAG,0.007066022006692349
8,word_count,0.005503147092534389
3,mépris / haine,0.0032242948347304752
31,VERBAL_ABUSE_DNG,0.002481436521716615
5,abréviation,0.001946334685772347
54,SENTIMENT_NEU,0.0017413224868780763
4,argot,0.00166664643398594
48,CONTEXT_DFN,0.0011344872862557032
25,TARGET_bully,0.0011285674194032255
9,pct_uppercase,0.0010622003264976305
17,ROLE_bully_support,0.0008517634216699754
12,domain_Homophobie,0.0008402967167523876
11,has_question,0.0008217809312185499
6,interjection,0.0007469946924835828
14,domain_Racisme,0.0006555526542401136
45,CONTEXT_ATK,0.0006495332054341097
16,ROLE_bully,0.0006044218234577236
13,domain_Obésité,0.0005620812771510878
26,TARGET_bully_support,0.0005607652801958947
53,SENTIMENT_NEG,0.0004907440740548609
34,VERBAL_ABUSE_OTH,0.0003840245245199185
20,ROLE_victim_support,0.0003446453899672783
37,INTENTION_ATK,0.00033424018484480556
40,INTENTION_DFN,0.00030685367995418123
28,TARGET_victim,0.0002536738034880427
21,HATE_CAG,0.00021351721438001126
51,CONTEXT_MISSING,0.0002074104836168382
15,domain_Religion,0.00019753026537736284
46,CONTEXT_CNS,0.00014846785326953763
18,ROLE_conciliator,0.0001332315075023072
52,CONTEXT_OTH,0.00011167685811737187
38,INTENTION_CNS,0.0001101001765140079
1,ironie,0.00010661105502421556
33,VERBAL_ABUSE_NCG,8.214502550888491e-05
43,INTENTION_OTH,7.987839103874794e-05
24,TARGET_MISSING,7.823235462512915e-05
32,VERBAL_ABUSE_MISSING,7.815444842928193e-05
22,HATE_NAG,4.7639449003488526e-05
36,INTENTION_AIN,3.762379396151265e-05
19,ROLE_victim,3.0380081189487452e-05
29,TARGET_victim_support,2.621287901755214e-05
39,INTENTION_CR,2.5333833968031558e-05
27,TARGET_conciliator,2.2241313992585594e-05
35,VERBAL_ABUSE_THR,1.0122278808553624e-05
47,CONTEXT_CR,4.764399632968163e-06
0,elongation,0.0
10,has_exclamation,0.0
30,VERBAL_ABUSE_BLM,0.0
41,INTENTION_EMP,0.0
42,INTENTION_GSL,0.0
44,CONTEXT_AIN,0.0
49,CONTEXT_EMP,0.0
50,CONTEXT_GSL,0.0
55,SENTIMENT_POS,0.0
