antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'HATE=NAG', 'text_long'})",frozenset({'SENTIMENT=NEU'}),0.12666666666666668,0.12,0.08666666666666667,0.6842105263157894,5.701754385964912,1.0,0.07146666666666666,2.7866666666666657,0.9442160892542572,0.5416666666666666,0.6411483253588516,0.7032163742690059
frozenset({'SENTIMENT=NEU'}),"frozenset({'HATE=NAG', 'text_long'})",0.12,0.12666666666666668,0.08666666666666667,0.7222222222222222,5.701754385964912,1.0,0.07146666666666666,3.1439999999999997,0.9370629370629371,0.5416666666666666,0.6819338422391857,0.7032163742690059
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'CONTEXT=ATK'})","frozenset({'TARGET=bully', 'text_long'})",0.11333333333333333,0.14,0.08,0.7058823529411765,5.042016806722689,1.0,0.06413333333333333,2.9240000000000004,0.9041353383458647,0.4615384615384615,0.6580027359781122,0.6386554621848739
"frozenset({'TARGET=bully', 'text_long'})","frozenset({'INTENTION=DFN', 'SENTIMENT=NEG', 'domain=Religion', 'CONTEXT=ATK'})",0.14,0.11333333333333333,0.08,0.5714285714285714,5.042016806722689,1.0,0.06413333333333333,2.068888888888889,0.9321705426356589,0.4615384615384615,0.5166487647690654,0.6386554621848739
"frozenset({'TARGET=bully', 'text_long', 'INTENTION=DFN'})","frozenset({'SENTIMENT=NEG', 'domain=Religion', 'CONTEXT=ATK'})",0.14,0.11333333333333333,0.08,0.5714285714285714,5.042016806722689,1.0,0.06413333333333333,2.068888888888889,0.9321705426356589,0.4615384615384615,0.5166487647690654,0.6386554621848739
"frozenset({'TARGET=bully', 'text_long'})","frozenset({'SENTIMENT=NEG', 'domain=Religion', 'CONTEXT=ATK'})",0.14,0.11333333333333333,0.08,0.5714285714285714,5.042016806722689,1.0,0.06413333333333333,2.068888888888889,0.9321705426356589,0.4615384615384615,0.5166487647690654,0.6386554621848739
"frozenset({'INTENTION=DFN', 'SENTIMENT=NEG', 'domain=Religion', 'CONTEXT=ATK'})","frozenset({'TARGET=bully', 'text_long'})",0.11333333333333333,0.14,0.08,0.7058823529411765,5.042016806722689,1.0,0.06413333333333333,2.9240000000000004,0.9041353383458647,0.4615384615384615,0.6580027359781122,0.6386554621848739
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'CONTEXT=ATK'})","frozenset({'TARGET=bully', 'text_long', 'INTENTION=DFN'})",0.11333333333333333,0.14,0.08,0.7058823529411765,5.042016806722689,1.0,0.06413333333333333,2.9240000000000004,0.9041353383458647,0.4615384615384615,0.6580027359781122,0.6386554621848739
"frozenset({'ROLE=victim', 'CONTEXT=ATK'})","frozenset({'text_long', 'INTENTION=DFN'})",0.08666666666666667,0.2,0.08666666666666667,1.0,5.0,1.0,0.06933333333333333,inf,0.875912408759124,0.43333333333333335,1.0,0.7166666666666667
"frozenset({'text_long', 'SENTIMENT=NEU'})",frozenset({'HATE=NAG'}),0.08666666666666667,0.20666666666666667,0.08666666666666667,1.0,4.838709677419355,1.0,0.06875555555555556,inf,0.8686131386861313,0.41935483870967744,1.0,0.7096774193548387
