,feature,importance
64,nature_linguistique_MISSING,0.5400545916602771
7,text_length,0.14267630912377866
8,word_count,0.103096418514457
3,mépris / haine,0.05023831779556968
22,HATE_OAG,0.013102945695610326
9,pct_uppercase,0.011165067848931407
27,TARGET_victim,0.01108981096282536
33,VERBAL_ABUSE_OTH,0.01012720036532527
62,nature_linguistique_Enonce exclamatif,0.007328202108142729
25,TARGET_bully_support,0.007318899242218504
39,INTENTION_DFN,0.007055314747606224
44,CONTEXT_ATK,0.006994058983310316
4,argot,0.006772301224210001
30,VERBAL_ABUSE_DNG,0.006378615231278235
50,CONTEXT_MISSING,0.006163964452796511
36,INTENTION_ATK,0.005465079190600161
47,CONTEXT_DFN,0.005426783922556216
11,has_question,0.005264993604986277
24,TARGET_bully,0.0052282773811496135
16,ROLE_bully_support,0.004985022475506185
6,interjection,0.004843832445477401
53,SENTIMENT_NEU,0.004162600662232076
2,insulte,0.003592763020726881
5,abréviation,0.003440011233967047
35,INTENTION_AIN,0.003235652531953079
18,ROLE_victim,0.003147143686215355
19,ROLE_victim_support,0.0028485681593256396
23,TARGET_MISSING,0.0025314120016544784
17,ROLE_conciliator,0.0023332855015638907
15,ROLE_bully,0.0019530901804062735
56,nature_linguistique_Autre,0.0018800555096851416
51,CONTEXT_OTH,0.0015142414756810873
70,nature_linguistique_Syntagme nominal,0.001233080380410744
42,INTENTION_OTH,0.0011859530208217486
52,SENTIMENT_NEG,0.001017953813328265
67,nature_linguistique_Proposition,0.0007697078924375037
20,HATE_CAG,0.000728149022121717
32,VERBAL_ABUSE_NCG,0.0006042886745526691
26,TARGET_conciliator,0.0005516764009507602
28,TARGET_victim_support,0.00043523157181114694
63,nature_linguistique_Interjection,0.000408898643934967
21,HATE_NAG,0.00039043638402315786
31,VERBAL_ABUSE_MISSING,0.0003480049400258423
1,ironie,0.00022241224389317344
37,INTENTION_CNS,0.00018037649474127992
45,CONTEXT_CNS,0.0001704626699553829
34,VERBAL_ABUSE_THR,0.00013284727176936622
0,elongation,0.00011626998742800337
10,has_exclamation,4.417997528551444e-05
38,INTENTION_CR,3.363019965651142e-05
40,INTENTION_EMP,1.1609472828240598e-05
29,VERBAL_ABUSE_BLM,0.0
14,domain_CyberAggAdo,0.0
12,mean_span_avg_tok_len,0.0
13,n_frag_words_in_spans,0.0
54,SENTIMENT_POS,0.0
49,CONTEXT_GSL,0.0
48,CONTEXT_EMP,0.0
46,CONTEXT_CR,0.0
43,CONTEXT_AIN,0.0
41,INTENTION_GSL,0.0
57,nature_linguistique_Dislocation droite,0.0
55,nature_linguistique_Accumulation,0.0
61,nature_linguistique_Enonce elliptique,0.0
60,nature_linguistique_Enonce clive,0.0
59,nature_linguistique_Enonce averbal,0.0
58,nature_linguistique_Dislocation gauche,0.0
66,nature_linguistique_Points de suspension,0.0
65,nature_linguistique_Point d'exclamation,0.0
68,nature_linguistique_Syntagme adjectival,0.0
69,nature_linguistique_Syntagme adverbal,0.0
