f1,f2,interaction_var,error_range,max_error,min_error,n_cells
ROLE,CONTEXT,0.000715,0.119,0.119,0.0,21
VERBAL_ABUSE,CONTEXT,0.000772,0.1167,0.15,0.0333,17
INTENTION,CONTEXT,0.000772,0.1083,0.125,0.0167,16
VERBAL_ABUSE,interjection,0.001128,0.0985,0.1439,0.0455,7
CONTEXT,insulte,0.000871,0.0976,0.1346,0.037,13
HATE,CONTEXT,0.00087,0.0966,0.1049,0.0083,17
INTENTION,domain,0.000531,0.0906,0.1034,0.0128,23
HATE,elongation,0.001796,0.0904,0.1296,0.0392,5
INTENTION,elongation,0.000734,0.0901,0.1204,0.0303,9
VERBAL_ABUSE,domain,0.000564,0.0896,0.1417,0.0521,13
CONTEXT,abréviation,0.000642,0.0886,0.1333,0.0447,13
elongation,abréviation,0.001547,0.0886,0.1481,0.0595,4
CONTEXT,interjection,0.000635,0.0878,0.119,0.0312,11
ROLE,elongation,0.00093,0.0871,0.1389,0.0518,7
INTENTION,insulte,0.0008,0.0859,0.1167,0.0307,13
HATE,domain,0.00077,0.0856,0.1146,0.029,11
TARGET,SENTIMENT,0.000937,0.0854,0.0854,0.0,6
ROLE,SENTIMENT,0.000675,0.0848,0.1,0.0152,11
CONTEXT,SENTIMENT,0.000752,0.0833,0.0833,0.0,13
TARGET,interjection,0.000658,0.0799,0.1354,0.0556,9
TARGET,elongation,0.000778,0.0792,0.1333,0.0542,6
INTENTION,interjection,0.00049,0.0784,0.1125,0.0341,11
INTENTION,SENTIMENT,0.000569,0.0769,0.0769,0.0,15
elongation,mépris / haine,0.001013,0.0762,0.125,0.0488,4
ROLE,INTENTION,0.000494,0.0758,0.0909,0.0152,19
SENTIMENT,elongation,0.000958,0.0757,0.1111,0.0354,4
TARGET,VERBAL_ABUSE,0.000521,0.075,0.125,0.05,16
CONTEXT,mépris / haine,0.000481,0.0747,0.0985,0.0238,14
ROLE,abréviation,0.000543,0.0745,0.1078,0.0333,10
elongation,argot,0.000975,0.0734,0.131,0.0576,4
CONTEXT,elongation,0.000448,0.0729,0.1146,0.0417,9
HATE,INTENTION,0.000611,0.0722,0.1,0.0278,15
VERBAL_ABUSE,abréviation,0.000585,0.0722,0.125,0.0528,7
ROLE,domain,0.000425,0.0717,0.1094,0.0377,18
INTENTION,abréviation,0.000494,0.0715,0.1033,0.0317,11
VERBAL_ABUSE,argot,0.000567,0.0713,0.1083,0.037,8
CONTEXT,argot,0.000508,0.0712,0.099,0.0278,13
CONTEXT,domain,0.000406,0.0708,0.1042,0.0333,19
ROLE,insulte,0.000546,0.0704,0.1149,0.0445,10
ROLE,VERBAL_ABUSE,0.000303,0.0692,0.1178,0.0486,16
SENTIMENT,abréviation,0.000873,0.0687,0.0965,0.0278,5
VERBAL_ABUSE,insulte,0.000542,0.0686,0.1224,0.0538,8
domain,elongation,0.00073,0.0681,0.1212,0.0531,5
HATE,VERBAL_ABUSE,0.000518,0.0669,0.1002,0.0333,7
domain,insulte,0.000574,0.0665,0.1111,0.0446,8
insulte,abréviation,0.000761,0.0663,0.1161,0.0497,4
SENTIMENT,domain,0.000537,0.0651,0.088,0.0229,9
SENTIMENT,insulte,0.000703,0.065,0.0972,0.0322,5
TARGET,CONTEXT,0.000266,0.064,0.1167,0.0526,15
INTENTION,mépris / haine,0.000558,0.0639,0.0917,0.0278,13
