,_profile_key,n,mean_error,median_error,std_error,active_labels,density
15,0|0|0|0|0|1|0|0|0|0|0|1|0|1|0|1,1,0.25,0.25,,"['Tristesse', 'Autre', 'Désignée', 'Suggérée']",4
30,0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1,1,0.25,0.25,,"['Dégoût', 'Autre', 'Suggérée']",3
25,0|0|1|0|0|0|0|0|0|0|0|1|0|0|1|0,1,0.25,0.25,,"['Joie', 'Autre', 'Montrée']",3
62,1|1|0|0|0|0|0|0|0|0|0|1|1|0|1|1,1,0.25,0.25,,"['Colère', 'Dégoût', 'Autre', 'Comportementale', 'Montrée', 'Suggérée']",6
61,1|1|0|0|0|0|0|0|0|0|0|1|0|0|1|1,1,0.25,0.25,,"['Colère', 'Dégoût', 'Autre', 'Montrée', 'Suggérée']",5
43,1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|1,1,0.25,0.25,,"['Colère', 'Autre', 'Montrée', 'Suggérée']",4
34,0|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1,1,0.25,0.25,,"['Dégoût', 'Joie', 'Montrée', 'Suggérée']",4
35,0|1|1|0|0|0|0|0|0|0|0|1|0|0|1|0,1,0.25,0.25,,"['Dégoût', 'Joie', 'Autre', 'Montrée']",4
60,1|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0,6,0.20833333333333334,0.20833333333333331,0.04564354645876384,"['Colère', 'Dégoût', 'Autre', 'Montrée']",4
29,0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0,1,0.16666666666666666,0.16666666666666666,,"['Dégoût', 'Comportementale']",2
17,0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0,1,0.16666666666666666,0.16666666666666666,,"['Surprise', 'Montrée']",2
5,0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0,6,0.16666666666666666,0.16666666666666666,0.07453559924999298,"['Jalousie', 'Désignée']",2
11,0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Tristesse', 'Suggérée']",2
16,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Surprise', 'Suggérée']",2
8,0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0,1,0.16666666666666666,0.16666666666666666,,"['Embarras', 'Désignée']",2
14,0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Tristesse', 'Autre', 'Suggérée']",3
32,0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|1,1,0.16666666666666666,0.16666666666666666,,"['Dégoût', 'Autre', 'Montrée', 'Suggérée']",4
47,1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Tristesse', 'Suggérée']",3
46,1|0|0|0|0|0|0|0|1|0|0|0|1|1|0|0,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Embarras', 'Comportementale', 'Désignée']",4
49,1|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Surprise', 'Montrée']",3
58,1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Dégoût', 'Comportementale']",3
51,1|0|0|1|0|1|0|0|0|0|0|0|1|0|1|0,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Peur', 'Tristesse', 'Comportementale', 'Montrée']",5
54,1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Dégoût', 'Suggérée']",3
44,1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0,2,0.16666666666666666,0.16666666666666666,0.0,"['Colère', 'Autre', 'Comportementale']",3
33,0|1|0|0|0|0|0|0|0|0|0|1|1|0|0|0,1,0.16666666666666666,0.16666666666666666,,"['Dégoût', 'Autre', 'Comportementale']",3
39,1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Désignée']",2
53,1|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0,2,0.16666666666666666,0.16666666666666666,0.11785113019775792,"['Colère', 'Joie', 'Désignée', 'Montrée']",4
63,1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1,1,0.16666666666666666,0.16666666666666666,,"['Colère', 'Dégoût', 'Joie', 'Montrée', 'Suggérée']",5
42,1|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0,16,0.15625,0.16666666666666666,0.04166666666666667,"['Colère', 'Autre', 'Montrée']",3
55,1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0,25,0.15,0.16666666666666666,0.04811252243246881,"['Colère', 'Dégoût', 'Montrée']",3
28,0|1|0|0|0|0|0|0|0|0|0|0|0|1|1|0,4,0.14583333333333331,0.16666666666666666,0.041666666666666664,"['Dégoût', 'Désignée', 'Montrée']",3
31,0|1|0|0|0|0|0|0|0|0|0|1|0|0|1|0,4,0.14583333333333331,0.16666666666666666,0.041666666666666664,"['Dégoût', 'Autre', 'Montrée']",3
59,1|1|0|0|0|0|0|0|0|0|0|0|1|0|1|0,3,0.13888888888888887,0.16666666666666666,0.048112522432468816,"['Colère', 'Dégoût', 'Comportementale', 'Montrée']",4
56,1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|1,3,0.13888888888888887,0.16666666666666666,0.048112522432468816,"['Colère', 'Dégoût', 'Montrée', 'Suggérée']",4
27,0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0,6,0.125,0.125,0.04564354645876384,"['Dégoût', 'Désignée']",2
22,0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0,8,0.125,0.125,0.0445435403187374,"['Joie', 'Montrée']",2
45,1|0|0|0|0|0|0|0|0|0|0|1|1|0|1|0,2,0.125,0.125,0.05892556509887896,"['Colère', 'Autre', 'Comportementale', 'Montrée']",4
48,1|0|0|0|0|1|0|0|0|0|0|0|0|0|1|1,3,0.1111111111111111,0.08333333333333333,0.048112522432468816,"['Colère', 'Tristesse', 'Montrée', 'Suggérée']",4
26,0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0,17,0.10784313725490195,0.08333333333333333,0.03913901819282184,"['Dégoût', 'Montrée']",2
2,0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0,13,0.10256410256410256,0.08333333333333333,0.03654408413779288,"['Autre', 'Montrée']",2
38,1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1,8,0.09375,0.08333333333333333,0.06954358003302334,"['Colère', 'Montrée', 'Suggérée']",3
36,1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1,18,0.08796296296296297,0.08333333333333333,0.04494206712246753,"['Colère', 'Suggérée']",2
12,0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0,4,0.08333333333333333,0.08333333333333333,0.06804138174397717,"['Tristesse', 'Désignée']",2
