support,itemsets
0.6600496277915633,frozenset({'SENTIMENT=NEG'})
0.5012406947890818,frozenset({'domain=Obésité'})
0.4392059553349876,frozenset({'text_court'})
0.43672456575682383,frozenset({'HATE=NAG'})
0.4218362282878412,frozenset({'HATE=OAG'})
0.4143920595533499,"frozenset({'SENTIMENT=NEG', 'HATE=OAG'})"
0.37220843672456577,frozenset({'mépris / haine=1'})
0.3598014888337469,frozenset({'VERBAL_ABUSE=OTH'})
0.3573200992555831,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH'})"
0.34739454094292804,frozenset({'ROLE=bully_support'})
0.33002481389578164,"frozenset({'mépris / haine=1', 'SENTIMENT=NEG'})"
0.33002481389578164,frozenset({'INTENTION=ATK'})
0.32754342431761785,"frozenset({'domain=Obésité', 'SENTIMENT=NEG'})"
0.3200992555831266,frozenset({'SENTIMENT=NEU'})
0.3176178660049628,"frozenset({'SENTIMENT=NEG', 'INTENTION=ATK'})"
0.3076923076923077,"frozenset({'SENTIMENT=NEU', 'HATE=NAG'})"
0.3002481389578164,"frozenset({'SENTIMENT=NEG', 'ROLE=bully_support'})"
0.29280397022332505,frozenset({'CONTEXT=ATK'})
0.28287841191067,frozenset({'TARGET=victim'})
0.2803970223325062,frozenset({'domain=Racisme'})
0.2704714640198511,"frozenset({'SENTIMENT=NEG', 'TARGET=victim'})"
0.2704714640198511,frozenset({'CONTEXT=DFN'})
0.2630272952853598,frozenset({'text_long'})
0.2555831265508685,"frozenset({'SENTIMENT=NEG', 'text_court'})"
0.2506203473945409,"frozenset({'VERBAL_ABUSE=OTH', 'HATE=OAG'})"
0.24813895781637718,"frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'HATE=OAG'})"
0.23821339950372208,"frozenset({'domain=Obésité', 'HATE=NAG'})"
0.23821339950372208,"frozenset({'TARGET=victim', 'INTENTION=ATK'})"
0.23573200992555832,"frozenset({'HATE=OAG', 'INTENTION=ATK'})"
0.23325062034739455,"frozenset({'ROLE=bully_support', 'INTENTION=ATK'})"
