,feature,mean_abs_shap
7,text_length,0.014033463915539113
2,insulte,0.00768015161365994
3,mépris / haine,0.006492833124688481
23,HATE_OAG,0.0064772229006054465
8,word_count,0.004054154413298717
31,VERBAL_ABUSE_DNG,0.002728883092192974
5,abréviation,0.0018818505741175244
4,argot,0.0013133696151611503
48,CONTEXT_DFN,0.0011627677760015836
53,SENTIMENT_NEG,0.001085293377956108
40,INTENTION_DFN,0.0010371167847196452
11,has_question,0.0009479304360524389
6,interjection,0.0008462498068013548
20,ROLE_victim_support,0.0008250293399505882
25,TARGET_bully,0.0008228806273642082
14,domain_Racisme,0.0006913668485058241
13,domain_Obésité,0.0006732756911100718
34,VERBAL_ABUSE_OTH,0.0006456241451681129
45,CONTEXT_ATK,0.0006399489084766282
17,ROLE_bully_support,0.000622733735576172
54,SENTIMENT_NEU,0.0005616424322781415
9,pct_uppercase,0.0004842261632044052
28,TARGET_victim,0.000473245828922106
15,domain_Religion,0.00045912994058089297
12,domain_Homophobie,0.0004027090962466878
18,ROLE_conciliator,0.00035284530976670145
16,ROLE_bully,0.00027384742219183317
38,INTENTION_CNS,0.0002561972778702441
37,INTENTION_ATK,0.00024935119480035627
26,TARGET_bully_support,0.00023320672266285086
22,HATE_NAG,0.00021410062562952315
24,TARGET_MISSING,0.0001969406180949604
51,CONTEXT_MISSING,0.00017841482088548998
21,HATE_CAG,0.00016579042086093356
32,VERBAL_ABUSE_MISSING,0.00014825815264402366
1,ironie,0.00014652633155895503
19,ROLE_victim,0.00013997864493181698
33,VERBAL_ABUSE_NCG,6.566907338786735e-05
29,TARGET_victim_support,6.485604881009846e-05
46,CONTEXT_CNS,5.8046071301611655e-05
39,INTENTION_CR,5.608901662194373e-05
43,INTENTION_OTH,5.5869164031299025e-05
52,CONTEXT_OTH,3.590926074311476e-05
27,TARGET_conciliator,2.592006542180093e-05
36,INTENTION_AIN,2.476877408945434e-05
41,INTENTION_EMP,1.3415017779619293e-05
35,VERBAL_ABUSE_THR,5.791482503007725e-06
0,elongation,0.0
10,has_exclamation,0.0
30,VERBAL_ABUSE_BLM,0.0
42,INTENTION_GSL,0.0
44,CONTEXT_AIN,0.0
47,CONTEXT_CR,0.0
49,CONTEXT_EMP,0.0
50,CONTEXT_GSL,0.0
55,SENTIMENT_POS,0.0
