,feature,importance
7,text_length,0.3166514834226103
8,word_count,0.10085048735514052
2,insulte,0.09549883587842378
23,HATE_OAG,0.06887923833162632
3,mépris / haine,0.0641165123090809
31,VERBAL_ABUSE_DNG,0.04276833820125726
5,abréviation,0.0232251487407387
48,CONTEXT_DFN,0.01719765294481826
11,has_question,0.01689378254672363
17,ROLE_bully_support,0.01685232041095417
13,domain_Obésité,0.016042020390908455
34,VERBAL_ABUSE_OTH,0.015037215517932082
4,argot,0.014879255229773085
53,SENTIMENT_NEG,0.014286718184264992
20,ROLE_victim_support,0.01369469885364029
40,INTENTION_DFN,0.013416772453721382
45,CONTEXT_ATK,0.013413440208166335
6,interjection,0.01070240264116582
25,TARGET_bully,0.01065208470076157
28,TARGET_victim,0.010265653025198633
14,domain_Racisme,0.010155237111543963
37,INTENTION_ATK,0.009537536429284324
54,SENTIMENT_NEU,0.008434166327739091
12,domain_Homophobie,0.008414042364122609
9,pct_uppercase,0.007681597294556013
16,ROLE_bully,0.007230289039848006
15,domain_Religion,0.006557783560712631
24,TARGET_MISSING,0.00487976480354461
1,ironie,0.004623613611105032
51,CONTEXT_MISSING,0.004334478058300142
38,INTENTION_CNS,0.004315868008688711
18,ROLE_conciliator,0.004128813182506559
26,TARGET_bully_support,0.003766245129159379
21,HATE_CAG,0.00332920687393022
19,ROLE_victim,0.0029981466972003844
32,VERBAL_ABUSE_MISSING,0.0024623737189903238
22,HATE_NAG,0.002342228432045329
43,INTENTION_OTH,0.002150116793543524
33,VERBAL_ABUSE_NCG,0.0020501187792092033
46,CONTEXT_CNS,0.0015868389107605383
29,TARGET_victim_support,0.0009890021904216215
52,CONTEXT_OTH,0.0008946454162753255
36,INTENTION_AIN,0.0006284602168918003
39,INTENTION_CR,0.0005492989128485587
27,TARGET_conciliator,0.0003889549804040105
41,INTENTION_EMP,0.00013104570600501545
35,VERBAL_ABUSE_THR,0.00011606610345667423
0,elongation,0.0
10,has_exclamation,0.0
30,VERBAL_ABUSE_BLM,0.0
42,INTENTION_GSL,0.0
44,CONTEXT_AIN,0.0
47,CONTEXT_CR,0.0
49,CONTEXT_EMP,0.0
50,CONTEXT_GSL,0.0
55,SENTIMENT_POS,0.0
