antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'SENTIMENT=NEU'}),"frozenset({'HATE=NAG', 'text_long'})",0.11585365853658537,0.12804878048780488,0.08536585365853659,0.736842105263158,5.754385964912281,1.0,0.07053093396787627,3.3134146341463424,0.9344827586206896,0.5384615384615385,0.6981965403018036,0.7017543859649124
"frozenset({'HATE=NAG', 'text_long'})",frozenset({'SENTIMENT=NEU'}),0.12804878048780488,0.11585365853658537,0.08536585365853659,0.6666666666666667,5.754385964912281,1.0,0.07053093396787627,2.6524390243902447,0.9475524475524476,0.5384615384615385,0.6229885057471265,0.7017543859649124
frozenset({'SENTIMENT=NEU'}),frozenset({'HATE=NAG'}),0.11585365853658537,0.1951219512195122,0.11585365853658537,1.0,5.125,1.0,0.09324806662700774,inf,0.9103448275862069,0.59375,1.0,0.796875
frozenset({'HATE=NAG'}),frozenset({'SENTIMENT=NEU'}),0.1951219512195122,0.11585365853658537,0.11585365853658537,0.59375,5.125,1.0,0.09324806662700774,2.176360225140713,1.0,0.59375,0.5405172413793103,0.796875
"frozenset({'text_long', 'SENTIMENT=NEU'})",frozenset({'HATE=NAG'}),0.08536585365853659,0.1951219512195122,0.08536585365853659,1.0,5.125,1.0,0.06870910172516359,inf,0.8799999999999999,0.4375,1.0,0.71875
"frozenset({'VERBAL_ABUSE=OTH', 'TARGET=bully'})","frozenset({'SENTIMENT=NEG', 'domain=Religion', 'INTENTION=DFN'})",0.1402439024390244,0.1402439024390244,0.08536585365853659,0.608695652173913,4.340264650283553,1.0,0.06569750148721,2.197154471544715,0.8951367781155015,0.4375,0.5448658649398704,0.608695652173913
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'INTENTION=DFN'})","frozenset({'VERBAL_ABUSE=OTH', 'TARGET=bully'})",0.1402439024390244,0.1402439024390244,0.08536585365853659,0.608695652173913,4.340264650283553,1.0,0.06569750148721,2.197154471544715,0.8951367781155015,0.4375,0.5448658649398704,0.608695652173913
"frozenset({'domain=Religion', 'VERBAL_ABUSE=OTH', 'INTENTION=DFN'})","frozenset({'SENTIMENT=NEG', 'TARGET=bully'})",0.08536585365853659,0.23170731707317074,0.08536585365853659,1.0,4.315789473684211,1.0,0.06558596073765616,inf,0.84,0.368421052631579,1.0,0.6842105263157895
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'VERBAL_ABUSE=OTH', 'INTENTION=DFN'})",frozenset({'TARGET=bully'}),0.08536585365853659,0.23170731707317074,0.08536585365853659,1.0,4.315789473684211,1.0,0.06558596073765616,inf,0.84,0.368421052631579,1.0,0.6842105263157895
"frozenset({'INTENTION=DFN', 'VERBAL_ABUSE=OTH', 'domain=Religion'})",frozenset({'TARGET=bully'}),0.08536585365853659,0.23170731707317074,0.08536585365853659,1.0,4.315789473684211,1.0,0.06558596073765616,inf,0.84,0.368421052631579,1.0,0.6842105263157895
"frozenset({'CONTEXT=ATK', 'ROLE=victim'})","frozenset({'INTENTION=DFN', 'text_long'})",0.10365853658536585,0.23780487804878048,0.10365853658536585,1.0,4.205128205128205,1.0,0.07900803093396788,inf,0.8503401360544219,0.4358974358974359,1.0,0.717948717948718
"frozenset({'domain=Religion', 'TARGET=bully'})","frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN'})",0.11585365853658537,0.17682926829268292,0.08536585365853659,0.736842105263158,4.166969147005445,1.0,0.06487953599048187,3.128048780487806,0.8596059113300493,0.41176470588235303,0.6803118908382068,0.6098003629764066
"frozenset({'domain=Religion', 'TARGET=bully'})","frozenset({'SENTIMENT=NEG', 'VERBAL_ABUSE=OTH', 'INTENTION=DFN'})",0.11585365853658537,0.17682926829268292,0.08536585365853659,0.736842105263158,4.166969147005445,1.0,0.06487953599048187,3.128048780487806,0.8596059113300493,0.41176470588235303,0.6803118908382068,0.6098003629764066
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'TARGET=bully'})","frozenset({'VERBAL_ABUSE=OTH', 'INTENTION=DFN'})",0.11585365853658537,0.17682926829268292,0.08536585365853659,0.736842105263158,4.166969147005445,1.0,0.06487953599048187,3.128048780487806,0.8596059113300493,0.41176470588235303,0.6803118908382068,0.6098003629764066
"frozenset({'SENTIMENT=NEG', 'ROLE=victim_support'})","frozenset({'INTENTION=DFN', 'TARGET=bully', 'mépris / haine=1'})",0.17073170731707318,0.1402439024390244,0.0975609756097561,0.5714285714285714,4.074534161490683,1.0,0.07361689470553243,2.0060975609756095,0.9099264705882354,0.4571428571428571,0.5015197568389057,0.6335403726708073
"frozenset({'INTENTION=DFN', 'TARGET=bully', 'mépris / haine=1'})","frozenset({'SENTIMENT=NEG', 'ROLE=victim_support'})",0.1402439024390244,0.17073170731707318,0.0975609756097561,0.6956521739130433,4.074534161490682,1.0,0.07361689470553243,2.7247386759581866,0.8776595744680852,0.4571428571428571,0.6329923273657287,0.6335403726708073
"frozenset({'TARGET=bully', 'mépris / haine=1'})","frozenset({'SENTIMENT=NEG', 'ROLE=victim_support', 'INTENTION=DFN'})",0.14634146341463414,0.16463414634146342,0.0975609756097561,0.6666666666666667,4.049382716049383,1.0,0.07346817370612731,2.5060975609756104,0.8821428571428571,0.4571428571428572,0.6009732360097324,0.6296296296296297
"frozenset({'SENTIMENT=NEG', 'ROLE=victim_support', 'INTENTION=DFN'})","frozenset({'TARGET=bully', 'mépris / haine=1'})",0.16463414634146342,0.14634146341463414,0.0975609756097561,0.5925925925925926,4.049382716049383,1.0,0.07346817370612731,2.0953436807095343,0.9014598540145986,0.4571428571428572,0.5227513227513227,0.6296296296296297
"frozenset({'ROLE=victim_support', 'INTENTION=DFN', 'text_long'})",frozenset({'TARGET=bully'}),0.0975609756097561,0.23170731707317074,0.09146341463414634,0.9374999999999999,4.046052631578947,1.0,0.06885782272456871,12.292682926829247,0.8342342342342343,0.3846153846153846,0.9186507936507935,0.6661184210526315
"frozenset({'SENTIMENT=NEG', 'ROLE=victim_support', 'INTENTION=DFN', 'text_long'})",frozenset({'TARGET=bully'}),0.0975609756097561,0.23170731707317074,0.09146341463414634,0.9374999999999999,4.046052631578947,1.0,0.06885782272456871,12.292682926829247,0.8342342342342343,0.3846153846153846,0.9186507936507935,0.6661184210526315
"frozenset({'ROLE=victim_support', 'INTENTION=DFN', 'text_long'})","frozenset({'SENTIMENT=NEG', 'TARGET=bully'})",0.0975609756097561,0.23170731707317074,0.09146341463414634,0.9374999999999999,4.046052631578947,1.0,0.06885782272456871,12.292682926829247,0.8342342342342343,0.3846153846153846,0.9186507936507935,0.6661184210526315
"frozenset({'SENTIMENT=NEG', 'domain=Religion', 'INTENTION=DFN'})","frozenset({'TARGET=bully', 'CONTEXT=ATK'})",0.1402439024390244,0.18292682926829268,0.10365853658536585,0.7391304347826085,4.040579710144927,1.0,0.07800416418798334,3.13211382113821,0.8752607425949103,0.47222222222222215,0.6807268007787148,0.6528985507246376
"frozenset({'TARGET=bully', 'CONTEXT=ATK'})","frozenset({'SENTIMENT=NEG', 'domain=Religion', 'INTENTION=DFN'})",0.18292682926829268,0.1402439024390244,0.10365853658536585,0.5666666666666667,4.040579710144927,1.0,0.07800416418798334,1.9840525328330205,0.9209833187006146,0.47222222222222215,0.49598108747044917,0.6528985507246376
"frozenset({'domain=Religion', 'HATE=OAG', 'INTENTION=DFN'})","frozenset({'SENTIMENT=NEG', 'TARGET=bully'})",0.09146341463414634,0.23170731707317074,0.08536585365853659,0.9333333333333336,4.0280701754385975,1.0,0.06417311124330756,11.52439024390248,0.8274209012464045,0.35897435897435903,0.9132275132275135,0.6508771929824563
"frozenset({'domain=Religion', 'HATE=OAG', 'INTENTION=DFN'})",frozenset({'TARGET=bully'}),0.09146341463414634,0.23170731707317074,0.08536585365853659,0.9333333333333336,4.0280701754385975,1.0,0.06417311124330756,11.52439024390248,0.8274209012464045,0.35897435897435903,0.9132275132275135,0.6508771929824563
