,feature,mean_abs_shap
64,nature_linguistique_MISSING,0.032776907007324725
3,mépris / haine,0.005887429270221157
7,text_length,0.005860813024305719
8,word_count,0.0055972586830833225
22,HATE_OAG,0.0021063818417584156
27,TARGET_victim,0.0011191105771296806
62,nature_linguistique_Enonce exclamatif,0.000844045746097492
25,TARGET_bully_support,0.000806672188962017
30,VERBAL_ABUSE_DNG,0.0006715669268080251
33,VERBAL_ABUSE_OTH,0.00061940167314525
44,CONTEXT_ATK,0.0006169811928919565
9,pct_uppercase,0.0006090214970639023
53,SENTIMENT_NEU,0.0006072809212942007
11,has_question,0.0005054956306107676
4,argot,0.0005012249217340323
39,INTENTION_DFN,0.0004927180400226843
24,TARGET_bully,0.0004916528659617667
16,ROLE_bully_support,0.0004577627857454826
47,CONTEXT_DFN,0.000450873273139267
5,abréviation,0.0004092809865667501
35,INTENTION_AIN,0.0003970359546861331
6,interjection,0.00035608609671276977
19,ROLE_victim_support,0.00035403481313266285
36,INTENTION_ATK,0.0003495010187769593
51,CONTEXT_OTH,0.00032433275714746537
50,CONTEXT_MISSING,0.0003053145805300032
18,ROLE_victim,0.0002215971850212765
23,TARGET_MISSING,0.00020075044994120902
2,insulte,0.0001919197716197416
56,nature_linguistique_Autre,0.00018029224863783808
15,ROLE_bully,0.0001519626235455825
17,ROLE_conciliator,0.00014883765379063299
42,INTENTION_OTH,0.00013183984473394837
70,nature_linguistique_Syntagme nominal,9.853361881207648e-05
20,HATE_CAG,8.477841153384744e-05
26,TARGET_conciliator,6.176468718996411e-05
63,nature_linguistique_Interjection,5.342899006363206e-05
28,TARGET_victim_support,5.049020102871153e-05
21,HATE_NAG,4.341286345124636e-05
52,SENTIMENT_NEG,4.239496041664702e-05
31,VERBAL_ABUSE_MISSING,3.843709785614083e-05
67,nature_linguistique_Proposition,2.568063321734692e-05
32,VERBAL_ABUSE_NCG,1.8804489298900715e-05
1,ironie,1.656086342226357e-05
34,VERBAL_ABUSE_THR,1.5826557154751772e-05
45,CONTEXT_CNS,1.0528534701372724e-05
37,INTENTION_CNS,9.232652725972135e-06
0,elongation,6.0154767749662936e-06
10,has_exclamation,2.996721612091748e-06
38,INTENTION_CR,2.626274109051313e-06
40,INTENTION_EMP,9.677621778078094e-07
29,VERBAL_ABUSE_BLM,0.0
14,domain_CyberAggAdo,0.0
12,mean_span_avg_tok_len,0.0
13,n_frag_words_in_spans,0.0
54,SENTIMENT_POS,0.0
49,CONTEXT_GSL,0.0
48,CONTEXT_EMP,0.0
46,CONTEXT_CR,0.0
43,CONTEXT_AIN,0.0
41,INTENTION_GSL,0.0
57,nature_linguistique_Dislocation droite,0.0
55,nature_linguistique_Accumulation,0.0
61,nature_linguistique_Enonce elliptique,0.0
60,nature_linguistique_Enonce clive,0.0
59,nature_linguistique_Enonce averbal,0.0
58,nature_linguistique_Dislocation gauche,0.0
66,nature_linguistique_Points de suspension,0.0
65,nature_linguistique_Point d'exclamation,0.0
68,nature_linguistique_Syntagme adjectival,0.0
69,nature_linguistique_Syntagme adverbal,0.0
